what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382992245978
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382992246274
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382992249972
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1382992257881
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1382992262264
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1382992262296
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1382992265260
closed,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1382992265260
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1382992267537
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382992284308
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382993479754
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382993512884
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382994106736
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382994114637
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382994348169
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382994360150
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382994362007
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382994367919
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382994430959
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1382994449710
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1382994489693
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1382994582419
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382994587505
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382995071438
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382995074948
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382995101265
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1382995104838
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1382995136849
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382995137114
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382995139985
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382995173603
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382995425568
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1382995434038
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1382995434194
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382995443211
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382995449670
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382995451994
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382995455098
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1382995459295
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382995461494
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382995461713
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1382995465285
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1382995470137
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382995470418
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382995472414
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382995475472
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382995478935
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382995481197
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382995591049
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1382995596400
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382995601672
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382996613110
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382996614358
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382997038104
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382997039204
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382997040822
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382997040845
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382997042630
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382997042912
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1382997043215
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1382997044182
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1382997044221
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1382997044323
stopped,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1382997044323
stopped,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1382997044323
stopped,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1382997044323
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1382997044323
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1382997044323
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1382997044323
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1382997044323
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1382997044359
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1382997044405
